Long code,FoodEx2 code,FoodEx2 name,SUA code,SUA name,Category,Country name,Country code,"Carbon footprint, primary production","Carbon dioxide, primary production","Methane, fossil, primary production","Methane, biogenic, primary production","Nitrous oxide, primary production",Land,N input,P input,Water,Pesticides,Biodiversity,Ammonia,Animal welfare,Antibiotics,Mineral fertiliser production (CO2e),Capital goods (CO2e),Soil emissions (CO2e),Energy primary production (CO2e),Land use change (CO2e),Enteric fermentation (CO2e),Manure management (CO2e),Mineral fertiliser production (CO2),Capital goods (CO2),Energy primary production (CO2),Land use change (CO2),"Mineral fertiliser production (CH4, fossil)","Capital goods (CH4, fossil)","Energy primary production (CH4, fossil)","Soil emissions (CH4, biogenic)","Enteric fermentation (CH4, biogenic)","Manure management (CH4, biogenic)",Mineral fertiliser production (N2O),Capital goods (N2O),Soil emissions (N2O),Energy primary production (N2O),Manure management (N2O)
A.01.02.005,A001R,Spelt grain,111,"Wheat, average","Cereals, incl feed",Spain,ES,0.358583847,0.212402077,3.31E-04,0,4.99E-04,2.81176894,2.35E-02,2.15E-03,0.047600962,0.219347582,4.46E-11,1.43E-03,,,0.151019161,3.01E-02,0.080341633,0.097091753,0,,,9.10E-02,2.70E-02,0.094443212,,1.74E-04,9.50E-05,6.18E-05,,,,2.01E-04,1.10E-06,0.000294292,2.96E-06,
A.01.02.005,A001R,Spelt grain,111,"Wheat, average","Cereals, incl feed",Netherlands,NL,0.456262767,0.183777563,3.15E-04,0,9.64E-04,1.145205141,2.35E-02,2.15E-03,0,0.258981285,1.22E-11,1.43E-03,,,0.151019161,3.01E-02,0.207334372,0.067777935,0,,,9.10E-02,2.70E-02,0.065818698,,1.74E-04,9.50E-05,4.56E-05,,,,2.01E-04,1.10E-06,0.000759467,2.20E-06,
A.01.02.005,A001R,Spelt grain,111,"Wheat, average","Cereals, incl feed",UK,GB,0.45494276,0.182811502,3.04E-04,0,9.64E-04,1.257975565,2.35E-02,2.15E-03,0.000124896,0.535292832,1.22E-12,1.43E-03,,,0.151019161,3.01E-02,0.207334372,0.066457927,0,,,9.10E-02,2.70E-02,0.064852638,,1.74E-04,9.50E-05,3.47E-05,,,,2.01E-04,1.10E-06,0.000759467,2.09E-06,
A.01.02.005,A001R,Spelt grain,111,"Wheat, average","Cereals, incl feed",Bulgaria,BG,0.344806812,0.199460997,3.08E-04,0,4.99E-04,1.947761049,2.35E-02,2.15E-03,2.76E-05,0.178703633,8.12E-11,1.43E-03,,,0.151019161,3.01E-02,0.080341633,0.083314718,0,,,9.10E-02,2.70E-02,0.081502132,,1.74E-04,9.50E-05,3.88E-05,,,,2.01E-04,1.10E-06,0.000294292,2.40E-06,
A.01.02.005,A001R,Spelt grain,111,"Wheat, average","Cereals, incl feed",Poland,PL,0.43778024,0.211154286,3.37E-04,0,7.93E-04,2.138817833,2.35E-02,2.15E-03,0.000398471,0.247829734,7.28E-12,1.43E-03,,,0.151019161,3.01E-02,0.160683266,0.095946514,0,,,9.10E-02,2.70E-02,0.093195422,,1.74E-04,9.50E-05,6.84E-05,,,,2.01E-04,1.10E-06,0.000588583,2.62E-06,
A.01.02.005,A001R,Spelt grain,111,"Wheat, average","Cereals, incl feed",Hungary,HU,0.340406764,0.194707093,3.19E-04,0,4.99E-04,1.835441644,2.35E-02,2.15E-03,0.00183032,0.178037839,6.06E-11,1.43E-03,,,0.151019161,3.01E-02,0.080341633,0.078914671,0,,,9.10E-02,2.70E-02,0.076748228,,1.74E-04,9.50E-05,5.05E-05,,,,2.01E-04,1.10E-06,0.000294292,2.42E-06,
A.01.02.005,A001R,Spelt grain,111,"Wheat, average","Cereals, incl feed",Germany,DE,0.411835603,0.186088577,3.11E-04,0,7.93E-04,1.357389902,2.35E-02,2.15E-03,1.01E-09,0.258978472,2.36E-11,1.43E-03,,,0.151019161,3.01E-02,0.160683266,0.070001877,0,,,9.10E-02,2.70E-02,0.068129712,,1.74E-04,9.50E-05,4.19E-05,,,,2.01E-04,1.10E-06,0.000588583,2.28E-06,
A.01.02.005,A001R,Spelt grain,111,"Wheat, average","Cereals, incl feed",Denmark,DK,0.423740268,0.166515716,2.23E-04,0,9.18E-04,1.31149605,2.35E-02,2.15E-03,0.006349735,0.118297742,2.79E-13,1.43E-03,,,0.118837159,3.01E-02,0.207334372,0.067437437,0,,,7.37E-02,2.70E-02,0.065774639,,9.28E-05,9.50E-05,3.53E-05,,,,1.55E-04,1.10E-06,0.000759467,2.24E-06,
A.01.02.005,A001R,Spelt grain,111,"Wheat, average","Cereals, incl feed",France,FR,0.405124659,0.179775363,3.00E-04,0,7.93E-04,1.41349549,2.35E-02,2.15E-03,0.001330063,0.265461103,5.37E-11,1.43E-03,,,0.151019161,3.01E-02,0.160683266,0.063290932,0,,,9.10E-02,2.70E-02,0.061816498,,1.74E-04,9.50E-05,3.06E-05,,,,2.01E-04,1.10E-06,0.000588583,2.06E-06,
A.01.02.005,A001R,Spelt grain,111,"Wheat, average","Cereals, incl feed",Ireland,IE,0.451615652,0.179632163,2.99E-04,0,9.64E-04,1.092616752,2.35E-02,2.15E-03,0,0.535352643,1.20E-12,1.43E-03,,,0.151019161,3.01E-02,0.207334372,0.06313082,0,,,9.10E-02,2.70E-02,0.061673298,,1.74E-04,9.50E-05,3.04E-05,,,,2.01E-04,1.10E-06,0.000759467,2.02E-06,
A.01.02.005,A001R,Spelt grain,111,"Wheat, average","Cereals, incl feed",Poland,PL,0.43778024,0.211154286,3.37E-04,0,7.93E-04,2.138817833,2.35E-02,2.15E-03,0.000398471,0.247829734,7.28E-12,1.43E-03,,,0.151019161,3.01E-02,0.160683266,0.095946514,0,,,9.10E-02,2.70E-02,0.093195422,,1.74E-04,9.50E-05,6.84E-05,,,,2.01E-04,1.10E-06,0.000588583,2.62E-06,
A.01.02.005,A001R,Spelt grain,111,"Wheat, average","Cereals, incl feed",France,FR,0.405124659,0.179775363,3.00E-04,0,7.93E-04,1.41349549,2.35E-02,2.15E-03,0.001330063,0.265461103,5.37E-11,1.43E-03,,,0.151019161,3.01E-02,0.160683266,0.063290932,0,,,9.10E-02,2.70E-02,0.061816498,,1.74E-04,9.50E-05,3.06E-05,,,,2.01E-04,1.10E-06,0.000588583,2.06E-06,
A.01.02.005,A001R,Spelt grain,111,"Wheat, average","Cereals, incl feed",Greece,GR,0.378481927,0.23180504,3.43E-04,0,5.00E-04,3.481966893,2.35E-02,2.15E-03,0.028818304,9.73E-02,1.64E-10,1.43E-03,,,0.151019161,3.01E-02,0.080341633,0.116989833,0,,,9.10E-02,2.70E-02,0.113846175,,1.74E-04,9.50E-05,7.37E-05,,,,2.01E-04,1.10E-06,0.000294292,3.47E-06,
A.01.02.005,A001R,Spelt grain,111,"Wheat, average","Cereals, incl feed",Italy,IT,0.354540635,0.208092082,3.41E-04,0,4.99E-04,2.532081472,2.35E-02,2.15E-03,0.016090387,0.10403672,8.92E-11,1.43E-03,,,0.151019161,3.01E-02,0.080341633,0.093048542,0,,,9.10E-02,2.70E-02,0.090133217,,1.74E-04,9.50E-05,7.17E-05,,,,2.01E-04,1.10E-06,0.000294292,2.85E-06,
A.01.02.001.003,A001N,Wheat grain soft,111,"Wheat, average","Cereals, incl feed",Germany,DE,0.411835603,0.186088577,3.11E-04,0,7.93E-04,1.357389902,2.35E-02,2.15E-03,1.01E-09,0.258978472,2.36E-11,1.43E-03,,,0.151019161,3.01E-02,0.160683266,0.070001877,0,,,9.10E-02,2.70E-02,0.068129712,,1.74E-04,9.50E-05,4.19E-05,,,,2.01E-04,1.10E-06,0.000588583,2.28E-06,
A.01.02.001.003,A001N,Wheat grain soft,111,"Wheat, average","Cereals, incl feed",Greece,GR,0.378481927,0.23180504,3.43E-04,0,5.00E-04,3.481966893,2.35E-02,2.15E-03,0.028818304,9.73E-02,1.64E-10,1.43E-03,,,0.151019161,3.01E-02,0.080341633,0.116989833,0,,,9.10E-02,2.70E-02,0.113846175,,1.74E-04,9.50E-05,7.37E-05,,,,2.01E-04,1.10E-06,0.000294292,3.47E-06,
A.01.02.001.003,A001N,Wheat grain soft,111,"Wheat, average","Cereals, incl feed",Netherlands,NL,0.456262767,0.183777563,3.15E-04,0,9.64E-04,1.145205141,2.35E-02,2.15E-03,0,0.258981285,1.22E-11,1.43E-03,,,0.151019161,3.01E-02,0.207334372,0.067777935,0,,,9.10E-02,2.70E-02,0.065818698,,1.74E-04,9.50E-05,4.56E-05,,,,2.01E-04,1.10E-06,0.000759467,2.20E-06,
A.01.02.001.003,A001N,Wheat grain soft,111,"Wheat, average","Cereals, incl feed",Hungary,HU,0.340406764,0.194707093,3.19E-04,0,4.99E-04,1.835441644,2.35E-02,2.15E-03,0.00183032,0.178037839,6.06E-11,1.43E-03,,,0.151019161,3.01E-02,0.080341633,0.078914671,0,,,9.10E-02,2.70E-02,0.076748228,,1.74E-04,9.50E-05,5.05E-05,,,,2.01E-04,1.10E-06,0.000294292,2.42E-06,
A.01.02.001.003,A001N,Wheat grain soft,111,"Wheat, average","Cereals, incl feed",Ireland,IE,0.451615652,0.179632163,2.99E-04,0,9.64E-04,1.092616752,2.35E-02,2.15E-03,0,0.535352643,1.20E-12,1.43E-03,,,0.151019161,3.01E-02,0.207334372,0.06313082,0,,,9.10E-02,2.70E-02,0.061673298,,1.74E-04,9.50E-05,3.04E-05,,,,2.01E-04,1.10E-06,0.000759467,2.02E-06,
A.01.02.001.003,A001N,Wheat grain soft,111,"Wheat, average","Cereals, incl feed",Denmark,DK,0.423740268,0.166515716,2.23E-04,0,9.18E-04,1.31149605,2.35E-02,2.15E-03,0.006349735,0.118297742,2.79E-13,1.43E-03,,,0.118837159,3.01E-02,0.207334372,0.067437437,0,,,7.37E-02,2.70E-02,0.065774639,,9.28E-05,9.50E-05,3.53E-05,,,,1.55E-04,1.10E-06,0.000759467,2.24E-06,
A.01.02.001.003,A001N,Wheat grain soft,111,"Wheat, average","Cereals, incl feed",Bulgaria,BG,0.344806812,0.199460997,3.08E-04,0,4.99E-04,1.947761049,2.35E-02,2.15E-03,2.76E-05,0.178703633,8.12E-11,1.43E-03,,,0.151019161,3.01E-02,0.080341633,0.083314718,0,,,9.10E-02,2.70E-02,0.081502132,,1.74E-04,9.50E-05,3.88E-05,,,,2.01E-04,1.10E-06,0.000294292,2.40E-06,
A.01.02.001.003,A001N,Wheat grain soft,111,"Wheat, average","Cereals, incl feed",Sweden,SE,0.421537949,0.164840034,2.16E-04,0,9.17E-04,1.536334306,2.35E-02,2.15E-03,0,0.113688739,5.52E-12,1.43E-03,,,0.118837159,3.01E-02,0.207058903,0.065510587,0,,,7.37E-02,2.70E-02,0.064098957,,9.28E-05,9.50E-05,2.79E-05,,,,1.55E-04,1.10E-06,0.000758458,2.12E-06,
A.01.02.001.003,A001N,Wheat grain soft,111,"Wheat, average","Cereals, incl feed",Italy,IT,0.354540635,0.208092082,3.41E-04,0,4.99E-04,2.532081472,2.35E-02,2.15E-03,0.016090387,0.10403672,8.92E-11,1.43E-03,,,0.151019161,3.01E-02,0.080341633,0.093048542,0,,,9.10E-02,2.70E-02,0.090133217,,1.74E-04,9.50E-05,7.17E-05,,,,2.01E-04,1.10E-06,0.000294292,2.85E-06,
A.01.02.001.003,A001N,Wheat grain soft,111,"Wheat, average","Cereals, incl feed",Spain,ES,0.358583847,0.212402077,3.31E-04,0,4.99E-04,2.81176894,2.35E-02,2.15E-03,0.047600962,0.219347582,4.46E-11,1.43E-03,,,0.151019161,3.01E-02,0.080341633,0.097091753,0,,,9.10E-02,2.70E-02,0.094443212,,1.74E-04,9.50E-05,6.18E-05,,,,2.01E-04,1.10E-06,0.000294292,2.96E-06,
A.01.02.001.003,A001N,Wheat grain soft,111,"Wheat, average","Cereals, incl feed",Spain,ES,0.358583847,0.212402077,3.31E-04,0,4.99E-04,2.81176894,2.35E-02,2.15E-03,0.047600962,0.219347582,4.46E-11,1.43E-03,,,0.151019161,3.01E-02,0.080341633,0.097091753,0,,,9.10E-02,2.70E-02,0.094443212,,1.74E-04,9.50E-05,6.18E-05,,,,2.01E-04,1.10E-06,0.000294292,2.96E-06,
A.01.02.001.003,A001N,Wheat grain soft,111,"Wheat, average","Cereals, incl feed",Netherlands,NL,0.456262767,0.183777563,3.15E-04,0,9.64E-04,1.145205141,2.35E-02,2.15E-03,0,0.258981285,1.22E-11,1.43E-03,,,0.151019161,3.01E-02,0.207334372,0.067777935,0,,,9.10E-02,2.70E-02,0.065818698,,1.74E-04,9.50E-05,4.56E-05,,,,2.01E-04,1.10E-06,0.000759467,2.20E-06,
A.01.02.001.003,A001N,Wheat grain soft,111,"Wheat, average","Cereals, incl feed",UK,GB,0.45494276,0.182811502,3.04E-04,0,9.64E-04,1.257975565,2.35E-02,2.15E-03,0.000124896,0.535292832,1.22E-12,1.43E-03,,,0.151019161,3.01E-02,0.207334372,0.066457927,0,,,9.10E-02,2.70E-02,0.064852638,,1.74E-04,9.50E-05,3.47E-05,,,,2.01E-04,1.10E-06,0.000759467,2.09E-06,
A.01.02.001.003,A001N,Wheat grain soft,111,"Wheat, average","Cereals, incl feed",Bulgaria,BG,0.344806812,0.199460997,3.08E-04,0,4.99E-04,1.947761049,2.35E-02,2.15E-03,2.76E-05,0.178703633,8.12E-11,1.43E-03,,,0.151019161,3.01E-02,0.080341633,0.083314718,0,,,9.10E-02,2.70E-02,0.081502132,,1.74E-04,9.50E-05,3.88E-05,,,,2.01E-04,1.10E-06,0.000294292,2.40E-06,
A.01.02.001.003,A001N,Wheat grain soft,111,"Wheat, average","Cereals, incl feed",Poland,PL,0.43778024,0.211154286,3.37E-04,0,7.93E-04,2.138817833,2.35E-02,2.15E-03,0.000398471,0.247829734,7.28E-12,1.43E-03,,,0.151019161,3.01E-02,0.160683266,0.095946514,0,,,9.10E-02,2.70E-02,0.093195422,,1.74E-04,9.50E-05,6.84E-05,,,,2.01E-04,1.10E-06,0.000588583,2.62E-06,
A.01.02.001.003,A001N,Wheat grain soft,111,"Wheat, average","Cereals, incl feed",Hungary,HU,0.340406764,0.194707093,3.19E-04,0,4.99E-04,1.835441644,2.35E-02,2.15E-03,0.00183032,0.178037839,6.06E-11,1.43E-03,,,0.151019161,3.01E-02,0.080341633,0.078914671,0,,,9.10E-02,2.70E-02,0.076748228,,1.74E-04,9.50E-05,5.05E-05,,,,2.01E-04,1.10E-06,0.000294292,2.42E-06,
A.01.02.001.003,A001N,Wheat grain soft,111,"Wheat, average","Cereals, incl feed",Germany,DE,0.411835603,0.186088577,3.11E-04,0,7.93E-04,1.357389902,2.35E-02,2.15E-03,1.01E-09,0.258978472,2.36E-11,1.43E-03,,,0.151019161,3.01E-02,0.160683266,0.070001877,0,,,9.10E-02,2.70E-02,0.068129712,,1.74E-04,9.50E-05,4.19E-05,,,,2.01E-04,1.10E-06,0.000588583,2.28E-06,
A.01.02.001.003,A001N,Wheat grain soft,111,"Wheat, average","Cereals, incl feed",Denmark,DK,0.423740268,0.166515716,2.23E-04,0,9.18E-04,1.31149605,2.35E-02,2.15E-03,0.006349735,0.118297742,2.79E-13,1.43E-03,,,0.118837159,3.01E-02,0.207334372,0.067437437,0,,,7.37E-02,2.70E-02,0.065774639,,9.28E-05,9.50E-05,3.53E-05,,,,1.55E-04,1.10E-06,0.000759467,2.24E-06,
A.01.02.001.003,A001N,Wheat grain soft,111,"Wheat, average","Cereals, incl feed",France,FR,0.405124659,0.179775363,3.00E-04,0,7.93E-04,1.41349549,2.35E-02,2.15E-03,0.001330063,0.265461103,5.37E-11,1.43E-03,,,0.151019161,3.01E-02,0.160683266,0.063290932,0,,,9.10E-02,2.70E-02,0.061816498,,1.74E-04,9.50E-05,3.06E-05,,,,2.01E-04,1.10E-06,0.000588583,2.06E-06,
A.01.02.001.003,A001N,Wheat grain soft,111,"Wheat, average","Cereals, incl feed",Ireland,IE,0.451615652,0.179632163,2.99E-04,0,9.64E-04,1.092616752,2.35E-02,2.15E-03,0,0.535352643,1.20E-12,1.43E-03,,,0.151019161,3.01E-02,0.207334372,0.06313082,0,,,9.10E-02,2.70E-02,0.061673298,,1.74E-04,9.50E-05,3.04E-05,,,,2.01E-04,1.10E-06,0.000759467,2.02E-06,
A.01.02.001.003,A001N,Wheat grain soft,111,"Wheat, average","Cereals, incl feed",Poland,PL,0.43778024,0.211154286,3.37E-04,0,7.93E-04,2.138817833,2.35E-02,2.15E-03,0.000398471,0.247829734,7.28E-12,1.43E-03,,,0.151019161,3.01E-02,0.160683266,0.095946514,0,,,9.10E-02,2.70E-02,0.093195422,,1.74E-04,9.50E-05,6.84E-05,,,,2.01E-04,1.10E-06,0.000588583,2.62E-06,
A.01.02.001.003,A001N,Wheat grain soft,111,"Wheat, average","Cereals, incl feed",France,FR,0.405124659,0.179775363,3.00E-04,0,7.93E-04,1.41349549,2.35E-02,2.15E-03,0.001330063,0.265461103,5.37E-11,1.43E-03,,,0.151019161,3.01E-02,0.160683266,0.063290932,0,,,9.10E-02,2.70E-02,0.061816498,,1.74E-04,9.50E-05,3.06E-05,,,,2.01E-04,1.10E-06,0.000588583,2.06E-06,
A.01.02.001.003,A001N,Wheat grain soft,111,"Wheat, average","Cereals, incl feed",Greece,GR,0.378481927,0.23180504,3.43E-04,0,5.00E-04,3.481966893,2.35E-02,2.15E-03,0.028818304,9.73E-02,1.64E-10,1.43E-03,,,0.151019161,3.01E-02,0.080341633,0.116989833,0,,,9.10E-02,2.70E-02,0.113846175,,1.74E-04,9.50E-05,7.37E-05,,,,2.01E-04,1.10E-06,0.000294292,3.47E-06,
A.01.02.001.003,A001N,Wheat grain soft,111,"Wheat, average","Cereals, incl feed",Italy,IT,0.354540635,0.208092082,3.41E-04,0,4.99E-04,2.532081472,2.35E-02,2.15E-03,0.016090387,0.10403672,8.92E-11,1.43E-03,,,0.151019161,3.01E-02,0.080341633,0.093048542,0,,,9.10E-02,2.70E-02,0.090133217,,1.74E-04,9.50E-05,7.17E-05,,,,2.01E-04,1.10E-06,0.000294292,2.85E-06,
A.01.02.001.002,A001P,Durum wheat grain,111,"Wheat, average","Cereals, incl feed",Germany,DE,0.411835603,0.186088577,3.11E-04,0,7.93E-04,1.357389902,2.35E-02,2.15E-03,1.01E-09,0.258978472,2.36E-11,1.43E-03,,,0.151019161,3.01E-02,0.160683266,0.070001877,0,,,9.10E-02,2.70E-02,0.068129712,,1.74E-04,9.50E-05,4.19E-05,,,,2.01E-04,1.10E-06,0.000588583,2.28E-06,
A.01.02.001.002,A001P,Durum wheat grain,111,"Wheat, average","Cereals, incl feed",Greece,GR,0.378481927,0.23180504,3.43E-04,0,5.00E-04,3.481966893,2.35E-02,2.15E-03,0.028818304,9.73E-02,1.64E-10,1.43E-03,,,0.151019161,3.01E-02,0.080341633,0.116989833,0,,,9.10E-02,2.70E-02,0.113846175,,1.74E-04,9.50E-05,7.37E-05,,,,2.01E-04,1.10E-06,0.000294292,3.47E-06,
A.01.02.001.002,A001P,Durum wheat grain,111,"Wheat, average","Cereals, incl feed",Netherlands,NL,0.456262767,0.183777563,3.15E-04,0,9.64E-04,1.145205141,2.35E-02,2.15E-03,0,0.258981285,1.22E-11,1.43E-03,,,0.151019161,3.01E-02,0.207334372,0.067777935,0,,,9.10E-02,2.70E-02,0.065818698,,1.74E-04,9.50E-05,4.56E-05,,,,2.01E-04,1.10E-06,0.000759467,2.20E-06,
A.01.02.001.002,A001P,Durum wheat grain,111,"Wheat, average","Cereals, incl feed",Hungary,HU,0.340406764,0.194707093,3.19E-04,0,4.99E-04,1.835441644,2.35E-02,2.15E-03,0.00183032,0.178037839,6.06E-11,1.43E-03,,,0.151019161,3.01E-02,0.080341633,0.078914671,0,,,9.10E-02,2.70E-02,0.076748228,,1.74E-04,9.50E-05,5.05E-05,,,,2.01E-04,1.10E-06,0.000294292,2.42E-06,
A.01.02.001.002,A001P,Durum wheat grain,111,"Wheat, average","Cereals, incl feed",Ireland,IE,0.451615652,0.179632163,2.99E-04,0,9.64E-04,1.092616752,2.35E-02,2.15E-03,0,0.535352643,1.20E-12,1.43E-03,,,0.151019161,3.01E-02,0.207334372,0.06313082,0,,,9.10E-02,2.70E-02,0.061673298,,1.74E-04,9.50E-05,3.04E-05,,,,2.01E-04,1.10E-06,0.000759467,2.02E-06,
A.01.02.001.002,A001P,Durum wheat grain,111,"Wheat, average","Cereals, incl feed",Denmark,DK,0.423740268,0.166515716,2.23E-04,0,9.18E-04,1.31149605,2.35E-02,2.15E-03,0.006349735,0.118297742,2.79E-13,1.43E-03,,,0.118837159,3.01E-02,0.207334372,0.067437437,0,,,7.37E-02,2.70E-02,0.065774639,,9.28E-05,9.50E-05,3.53E-05,,,,1.55E-04,1.10E-06,0.000759467,2.24E-06,
A.01.02.001.002,A001P,Durum wheat grain,111,"Wheat, average","Cereals, incl feed",Bulgaria,BG,0.344806812,0.199460997,3.08E-04,0,4.99E-04,1.947761049,2.35E-02,2.15E-03,2.76E-05,0.178703633,8.12E-11,1.43E-03,,,0.151019161,3.01E-02,0.080341633,0.083314718,0,,,9.10E-02,2.70E-02,0.081502132,,1.74E-04,9.50E-05,3.88E-05,,,,2.01E-04,1.10E-06,0.000294292,2.40E-06,
A.01.02.001.002,A001P,Durum wheat grain,111,"Wheat, average","Cereals, incl feed",Sweden,SE,0.421537949,0.164840034,2.16E-04,0,9.17E-04,1.536334306,2.35E-02,2.15E-03,0,0.113688739,5.52E-12,1.43E-03,,,0.118837159,3.01E-02,0.207058903,0.065510587,0,,,7.37E-02,2.70E-02,0.064098957,,9.28E-05,9.50E-05,2.79E-05,,,,1.55E-04,1.10E-06,0.000758458,2.12E-06,
A.01.02.001.002,A001P,Durum wheat grain,111,"Wheat, average","Cereals, incl feed",Italy,IT,0.354540635,0.208092082,3.41E-04,0,4.99E-04,2.532081472,2.35E-02,2.15E-03,0.016090387,0.10403672,8.92E-11,1.43E-03,,,0.151019161,3.01E-02,0.080341633,0.093048542,0,,,9.10E-02,2.70E-02,0.090133217,,1.74E-04,9.50E-05,7.17E-05,,,,2.01E-04,1.10E-06,0.000294292,2.85E-06,
A.01.02.001.002,A001P,Durum wheat grain,111,"Wheat, average","Cereals, incl feed",Spain,ES,0.358583847,0.212402077,3.31E-04,0,4.99E-04,2.81176894,2.35E-02,2.15E-03,0.047600962,0.219347582,4.46E-11,1.43E-03,,,0.151019161,3.01E-02,0.080341633,0.097091753,0,,,9.10E-02,2.70E-02,0.094443212,,1.74E-04,9.50E-05,6.18E-05,,,,2.01E-04,1.10E-06,0.000294292,2.96E-06,
A.01.02.001.002,A001P,Durum wheat grain,111,"Wheat, average","Cereals, incl feed",Spain,ES,0.358583847,0.212402077,3.31E-04,0,4.99E-04,2.81176894,2.35E-02,2.15E-03,0.047600962,0.219347582,4.46E-11,1.43E-03,,,0.151019161,3.01E-02,0.080341633,0.097091753,0,,,9.10E-02,2.70E-02,0.094443212,,1.74E-04,9.50E-05,6.18E-05,,,,2.01E-04,1.10E-06,0.000294292,2.96E-06,
A.01.02.001.002,A001P,Durum wheat grain,111,"Wheat, average","Cereals, incl feed",Netherlands,NL,0.456262767,0.183777563,3.15E-04,0,9.64E-04,1.145205141,2.35E-02,2.15E-03,0,0.258981285,1.22E-11,1.43E-03,,,0.151019161,3.01E-02,0.207334372,0.067777935,0,,,9.10E-02,2.70E-02,0.065818698,,1.74E-04,9.50E-05,4.56E-05,,,,2.01E-04,1.10E-06,0.000759467,2.20E-06,
A.01.02.001.002,A001P,Durum wheat grain,111,"Wheat, average","Cereals, incl feed",UK,GB,0.45494276,0.182811502,3.04E-04,0,9.64E-04,1.257975565,2.35E-02,2.15E-03,0.000124896,0.535292832,1.22E-12,1.43E-03,,,0.151019161,3.01E-02,0.207334372,0.066457927,0,,,9.10E-02,2.70E-02,0.064852638,,1.74E-04,9.50E-05,3.47E-05,,,,2.01E-04,1.10E-06,0.000759467,2.09E-06,
A.01.02.001.002,A001P,Durum wheat grain,111,"Wheat, average","Cereals, incl feed",Bulgaria,BG,0.344806812,0.199460997,3.08E-04,0,4.99E-04,1.947761049,2.35E-02,2.15E-03,2.76E-05,0.178703633,8.12E-11,1.43E-03,,,0.151019161,3.01E-02,0.080341633,0.083314718,0,,,9.10E-02,2.70E-02,0.081502132,,1.74E-04,9.50E-05,3.88E-05,,,,2.01E-04,1.10E-06,0.000294292,2.40E-06,
A.01.02.001.002,A001P,Durum wheat grain,111,"Wheat, average","Cereals, incl feed",Poland,PL,0.43778024,0.211154286,3.37E-04,0,7.93E-04,2.138817833,2.35E-02,2.15E-03,0.000398471,0.247829734,7.28E-12,1.43E-03,,,0.151019161,3.01E-02,0.160683266,0.095946514,0,,,9.10E-02,2.70E-02,0.093195422,,1.74E-04,9.50E-05,6.84E-05,,,,2.01E-04,1.10E-06,0.000588583,2.62E-06,
A.01.02.001.002,A001P,Durum wheat grain,111,"Wheat, average","Cereals, incl feed",Hungary,HU,0.340406764,0.194707093,3.19E-04,0,4.99E-04,1.835441644,2.35E-02,2.15E-03,0.00183032,0.178037839,6.06E-11,1.43E-03,,,0.151019161,3.01E-02,0.080341633,0.078914671,0,,,9.10E-02,2.70E-02,0.076748228,,1.74E-04,9.50E-05,5.05E-05,,,,2.01E-04,1.10E-06,0.000294292,2.42E-06,
A.01.02.001.002,A001P,Durum wheat grain,111,"Wheat, average","Cereals, incl feed",Germany,DE,0.411835603,0.186088577,3.11E-04,0,7.93E-04,1.357389902,2.35E-02,2.15E-03,1.01E-09,0.258978472,2.36E-11,1.43E-03,,,0.151019161,3.01E-02,0.160683266,0.070001877,0,,,9.10E-02,2.70E-02,0.068129712,,1.74E-04,9.50E-05,4.19E-05,,,,2.01E-04,1.10E-06,0.000588583,2.28E-06,
A.01.02.001.002,A001P,Durum wheat grain,111,"Wheat, average","Cereals, incl feed",Denmark,DK,0.423740268,0.166515716,2.23E-04,0,9.18E-04,1.31149605,2.35E-02,2.15E-03,0.006349735,0.118297742,2.79E-13,1.43E-03,,,0.118837159,3.01E-02,0.207334372,0.067437437,0,,,7.37E-02,2.70E-02,0.065774639,,9.28E-05,9.50E-05,3.53E-05,,,,1.55E-04,1.10E-06,0.000759467,2.24E-06,
A.01.02.001.002,A001P,Durum wheat grain,111,"Wheat, average","Cereals, incl feed",France,FR,0.405124659,0.179775363,3.00E-04,0,7.93E-04,1.41349549,2.35E-02,2.15E-03,0.001330063,0.265461103,5.37E-11,1.43E-03,,,0.151019161,3.01E-02,0.160683266,0.063290932,0,,,9.10E-02,2.70E-02,0.061816498,,1.74E-04,9.50E-05,3.06E-05,,,,2.01E-04,1.10E-06,0.000588583,2.06E-06,
A.01.02.001.002,A001P,Durum wheat grain,111,"Wheat, average","Cereals, incl feed",Ireland,IE,0.451615652,0.179632163,2.99E-04,0,9.64E-04,1.092616752,2.35E-02,2.15E-03,0,0.535352643,1.20E-12,1.43E-03,,,0.151019161,3.01E-02,0.207334372,0.06313082,0,,,9.10E-02,2.70E-02,0.061673298,,1.74E-04,9.50E-05,3.04E-05,,,,2.01E-04,1.10E-06,0.000759467,2.02E-06,
A.01.02.001.002,A001P,Durum wheat grain,111,"Wheat, average","Cereals, incl feed",Poland,PL,0.43778024,0.211154286,3.37E-04,0,7.93E-04,2.138817833,2.35E-02,2.15E-03,0.000398471,0.247829734,7.28E-12,1.43E-03,,,0.151019161,3.01E-02,0.160683266,0.095946514,0,,,9.10E-02,2.70E-02,0.093195422,,1.74E-04,9.50E-05,6.84E-05,,,,2.01E-04,1.10E-06,0.000588583,2.62E-06,
